4183,4172,4301,4302,4303,4217,4181,4184,4177,4174,4178,4173,4179,4182
112,274;6,219;37;249,103;6;108,131;227,274;6,180,234;182,89,20,89;124,187,89;234,89;187
131,6,274,274,131,274,116,89;199;182;187,89;20,89;182;20,,,,
298;125;103,131;56;6;7,113;116;239;119;219;37;39;246;104;80;63,112;256;239;119;163;104;227;7;86,274;116;239;78;103;227;7;108,33,180,89,89,89,118,89,20,89
,274;6,37;246;249;63;119;219,131;116;180;103;227,180;103;227;108,274;6,116,135;35;182;20; ,48;49;218;52;53;182;263,24;191;171;199;199;200,234; 35; 124,89;237;117;118;92;73;182;20;106;228;127;243,234;243,45;234;35;187;247
,24,29; 30; 26; 22,2; 24; 29,3,24,8; 17,199,263; 127; 124,20,89; 118; 124; 127,89,89,89; 187
298,6,239;63;249;246;37,112;256;86;104;163;119;7,227;78,274,116;180,191; 117; 35,124; 187,20; 8 ,127; ,89,,89
78;108;116;131,6;256,63;227;249,112;119;163;219,103;113,274,180,191;171,92;124;182;187,8;20;35,127,89,182,89
116;  86,,239; 37; 39; 246; 249; 63,274; 112; ,,,180,199;171,89,20;8;234,124,135,127,89
131,274,63,119,227,113,180,117,48,199,127,89,20,89
112;116;119,131;6,37;39;18;246;249,163;,227;103,6;,274;180,89;191;171;35,,20,135;124,,,89;187
6;,6,298;119;219;56;37;39;246;63;80,112;7,103;104;131;256;239;78;163,,113;180;125,191;35,89;48;53,8;20,118;124;127,,,89;187
